Business name,Website,Full address,Type,City,Quadrant,Primary Contact Name,Phone number,Email,Social Profile,Unnamed: 10
GlowUp Lab - 2 Locations,https://www.glowuplab.ca/en/,"#410-8 Nolan Hill BLVD NW, Calgary, AB T3R 0X2",Medical Aesthetics,Calgary,NW,Dr. Thomas Neal,587-619-7769,info@glowuplab.ca,,
Flawless Clinical Aesthetics and Medical Services,https://www.flawlessclinical.ca/,"1922 9 Ave SE, #12 Calgary, AB T2G 0V2",Medical Aesthetics,Calgary,SE,Gili Levan,403-264-5200,gili@flawlesslaser.ca,,
Butter Beauty Parlour - 2 Locations,https://butterbeautyparlour.com/,"2429 4th Street SW Calgary, Alberta T2S 1X5",Medical Aesthetics,Calgary,SW,Rob Charlebois,403-453-3404,info@butterbeautyparlour.com,,
Preventous™ Cosmetic Medicine,https://preventouscosmetic.com/,"873 85 St SW #6201, Calgary, AB T3H 0X9",Medical Aesthetics,Calgary,SW,Dr. Rohan Bissoondath,403-229-0129,rohan@preventous.com,,
YYC Botox & Fillers,https://yycbotox.com/,"1717 10 Ave SW, Calgary, AB T3C 0K1",Medical Aesthetics,Calgary,SW,Dr. Sandy Xu,587-926-9069,info@yycbotox.com,,
Tarora Rejuvenation,https://www.tarorarejuvenation.com/,"50 Nolanridge Ct NW #140, Calgary, AB T3R 1W7",Medical Aesthetics,Calgary,NW,Meena Bagga,403-910-1741,tarorarejuvenationyyc@gmail.com,,
MoDerm Laser & Aesthetics,https://modermlaser.com/,"11420 27 St SE, Calgary Alberta T2Z 3R6",Medical Aesthetics,Calgary,SE,Marta Chang,403-523-0550,info@modermlaser.com,,
Fresh Laser Skin Studio (Market Mall),https://freshlaser.ca/,"#327 Market Mall Professional Centre 4935-40th Ave, NW Calgary",Medical Aesthetics,Calgary,NW,Allie Tkachuk,403-264-4494,info@freshlaser.ca,https://ca.linkedin.com/in/allie-tkachuk-6640b12b4,
Vital Body + Skin,https://www.vitalbodyandskin.ca/,"3917 University Ave. NW Suite 325 Calgary, AB",Medical Aesthetics,Calgary,NW,Dr. Sean Gregg,403-220-9353,hello@vitalbodyandskin.ca,,
Revive Laser & Skin Clinic,https://revivelaser.ca/,"1016 68 Ave SW #150 Calgary, AB T2V 4J2",Medical Aesthetics,Calgary,SW,Amilie Doyle,403-291-2211,info@revivelaser.ca,https://ca.linkedin.com/in/amilie-doyle-2378aa107,
Skinista Medical Aesthetics Clinic,https://skinista.ca/,"2106-230 Eversyde Blvd SW Calgary, Alberta T2Y 0J4",Medical Aesthetics,Calgary,SW,Randa Hanna,825-488-4333,randa@skinista.ca,,
REFIRM,https://refirm.ca/,"8835 Macleod Trail, Suite 240, Calgary, AB T2H0M2",Medical Aesthetics,Calgary,SW,Alejandra Pereira,403-466-3476,info@refirm.ca,https://www.facebook.com/Refirmskin/,
Lavana Medical Aesthetics,https://lavanamed.com/,"#1730 80 Mahogany Rd. SE Calgary, AB T3M 3K9",Medical Aesthetics,Calgary,SE,Jenna Awalt,825-509-8888,contact@lavanamed.com,,
Pretty and Poised Medical Aesthetics,https://prettyandpoised.ca/,"760, 11012 Macleod Trail SE Calgary, Alberta T2J 6A5",Medical Aesthetics,Calgary,SE,Jenene Seweryn,403-896-3327,info@prettyandpoised.ca,,
Dr Beeautiful Aesthetics,https://www.drbeeautiful.com/,"6303B - 15 Sunpark Plaza SE, Calgary, T2X 0M5",Medical Aesthetics,Calgary,SE,Dr. Bee Banerjee,877-474-6772,info@drbeeautiful.com,,
"Skinvisible Laser & Aesthetics - 3 Locations (Calgary, Ok",https://www.skinvisiblelaser.com/,"755 Lake Bonavista Dr SE #109, Calgary, AB T2J 0N3",Medical Aesthetics,Calgary,SE,Twyla Gedlaman,403-969-1118,bookings@skinvisiblelaser.com,https://www.instagram.com/p/CSh7yctBqn-/,
RestoBod Laser & Skin Clinics,https://restobod.com/,"11500 29 Street SE, #104 Calgary, AB T2Z 3W9",Medical Aesthetics,Calgary,SE,Tina Clifford,403-764-3933,info@restobod.com,https://ca.linkedin.com/in/tina-clifford-0765b011b,
SkinMedics Calgary,https://skinmedicscalgary.ca,"(Unknown street address; Calgary, AB)",Medical Aesthetics,Calgary,,Dr. Ayesha Nazarali,587.582.9663,skinmedicsyyc@gmail.com,,
Bonsai Medical Aesthetics,https://www.bonsaimedicalaesthetics.com/,"155 Nolanridge Ct NW, Unit #330 Calgary, AB T3R 1W7, Canada",Medical Aesthetics,Calgary,NW,Dr. Tomi Mitchell,587 997 2211,info@bonsaimedicalaesthetics.com,https://ca.linkedin.com/in/drtomimitchell?trk=public_post_follow-view-profile,
Revive Medical spa Calgary,https://revivemedspa.ca,"107 14 St NW, Calgary, AB T2N 1Z7",Medical Aesthetics,Calgary,NW,Dr. Marina Beshay,(403) 640‑1555,info@revivemedspa.ca,https://ca.linkedin.com/in/dr-marina-beshay-1813814b,
Aesthetica Maria,https://aestheticamaria.com/,"Suite 760 11012 Mcleod Tr. SE Calgary, AB T2J 6A5",Medical Aesthetics,Calgary,SE,Maria,(403) 452‑9009,info@aestheticamaria.com,,
Sculpt Aesthetics Calgary,https://sculptaesthetics.ca,"112, 10333 SouthPort Road SW Calgary AB T2W 3X6",Medical Aesthetics,Calgary,SW,Jean Muir,(403) 453-0122,Jean.muir@sculptcalgary.com,https://ca.linkedin.com/in/jean-muir-r-n-csasn-18999041,
Lumiere Aesthetics,https://lumiereaesthetics.ca,3-414 Central St Summerside PE C1N 3N7 Canada,Medical Aesthetics,Calgary,SE,Dr. Anil Cherian,902 436-1283,info@lumiereaesthetics.ca,,
Kane Medical Aesthetics,https://kanemedicalaesthetics.com/,"908 17 Ave SW #212, Calgary, AB T2T 0A3, Canada",Medical Aesthetics,Calgary,SW,Angela Kane,(403) 771-2921,angelakaneis@gmail.com,https://www.instagram.com/Kanemedical.angela/#,
Miliano Medical Aesthetics,https://milianomed.com,"208-1711 4 St SW, Calgary, AB T2S 1V8",Medical Aesthetics,Calgary,SW,Millicent G. Cotoner,(587) 349-0499,contact@milianomed.com,https://www.facebook.com/milianomedgroup/posts/clinic-director-millicent-garma-cotoner-welcomes-you-to-miliano-skin-body-care-f/573339186164426/,
One Medical Aesthetics,https://oneaesthetics.ca,"112 4 Ave SW Suite 190, Calgary, AB T2P 0H3",Medical Aesthetics,Calgary,SW,Dr. Noreen Randhawa,403-263-7477,Info@colabaesthetics.ca,https://ca.linkedin.com/in/noreen-randhawa-3ab81a2b0,
Muse Aesthetics,https://museaesthetics.ca,"909 5 Ave SW 200 Unit N03Calgary, AB T2P 3G5, Canada",Medical Aesthetics,Calgary,SW,Angelica Morrah,(403) 453-4226,info@museaesthetics.com,,
CōLAB Medical Aesthetics,https://colabaesthetics.ca,"190-112 4 Ave SW, Calgary, AB T2P 0H3",Medical Aesthetics,Calgary,SW,Dr. Noreen Randhawa,403-263-7477,Info@colabhealthandbody.ca,https://ca.linkedin.com/in/noreen-randhawa-3ab81a2b0,
Noir Medical Aesthetics,https://noirmedicalaesthetics.ca,"217-45 Greenbriar Dr NW, Calgary, AB T3B 6N4",Medical Aesthetics,Calgary,NW,Twyla Black,(403) 616-7606,info@noirmedicalaesthetics.ca,https://www.instagram.com/twyla_np/,
Amber & Oak Aesthetics,https://amberandoakaesthetics.com,"311-4620 Bow Trail SW, Calgary, AB T3C 2G6",Medical Aesthetics,Calgary,SW,Mel Melenchuk,(403) 457-0608,amberandoakbeauty@gmail.com,https://www.instagram.com/melkvmel/?hl=en,
Point of View Medical Aesthetics,https://povclinic.com/,"1000 Centre St N #470 Calgary, Alberta, Canada",Medical Aesthetics,Calgary,NE/NW,Carissa-Lynn Sakal,587-575-1530,info@povclinic.com,https://www.instagram.com/aestheticnurseinjector/,
Face Skin & Body Bar,https://www.faceskinandbody.ca/,"#126 – 620 10th Ave SW Calgary, AB T2R 1C3",Medical Aesthetics,Calgary,SW,Lisane Marins,(403) 454-5607,reception@faceskinandbody.ca,https://ca.linkedin.com/in/lisane-marins-1aa8571b3,
Thermae Advanced Aesthetics,https://thermae.ca,"Suite 210, 4723 1st Street SW, Calgary, AB T2G 4Y8",Medical Aesthetics,Calgary,SW,Hanna Arcega,(403) 263-8873,info@thermae.ca,https://ca.linkedin.com/in/hannah-arcega-46763361,
GLO Antiaging Treatment Bar,https://gloantiaging.com/,"100, 1601 Westmount Road NW Calgary, AB T2N 3M2",Medical Aesthetics,Calgary,NW,Mandy Scheller,403-455-0444,info@gloantiaging.com,,
3D Lifestyle Calgary Medi Spa,https://3dlifestylecalgary.ca,"630 Redstone Dr NE #125, Calgary, AB T3N 1L4, Canada",Medical Aesthetics,Calgary,NE,Satvir Duggal,(587) 288‑5006,calgary@3dlifestyle.ca,,
Medi Derm Spa,https://medidermspa.ca,"250 6 Ave SW #240, Calgary, AB T2P 3H7",Medical Aesthetics,Calgary,SW,Karim Surani,(403) 234‑0066,contact@medidermspa.com,,
Ikaria Medical Aesthetics,https://my-ikaria.com/,"1036 McDougall Rd NE, Calgary, AB T2E 7H1, Canada",Medical Aesthetics,Calgary,NE,Kassidy Rieger,(587) 777‑1534,info@my-ikaria.com,,
Calgary Aesthetic Clinic,https://calgaryaestheticclinic.janeapp.com/,"11012 Macleod Trl SE #760, Calgary, AB T2J 6A5, Canada",Medical Aesthetics,Calgary,SE,Dr. Taryn Gregson,403 483 4860,info@calgaryaestheticclinic.ca,,
Blue Diamond Medical Aesthetics,https://bluediamondmedical.ca/,"8 Weston Dr SW #23, Calgary, AB T3H 5P2, Canada",Medical Aesthetics,Calgary,SW,Dr. Mohamed Farhat,(825) 413‑1113,info@bluediamondmedical.ca,https://ca.linkedin.com/in/mohamed-farhat-4a345140,
Glowup Aesthetic Academy,https://www.guaa.ca/,"7326 10 St NE #107, Calgary, AB T2E 8W1",Medical Aesthetics,Calgary,NE,Michelle Elam,(403) 475‑1118,Info@guaa.ca,,
Glow Medical Aesthetics,https://justglow.ca/,"Unit 20 – 525 Highlands Blvd. West Lethbridge, AB, T1J4V3",Medical Aesthetics,Calgary,SE,Andrea Krushel,403-795-2012,drkrushel@justglow.ca,https://www.instagram.com/glowmedicalaesthetics.ca/,
Pear Aesthetics,https://www.pearaesthetics.com/,"1022B Rundle Crescent NE, Calgary, AB T2E 5M2",Medical Aesthetics,Calgary,SE,Wendy,(403)510-9441,pearaesthetics@gmail.com,,
Zenith Aesthetics,https://www.zenithaesthetics.ca/,"110 9 Ave SW, Calgary, AB T2P 1C4",Medical Aesthetics,Calgary,SW,Hunter Domoslai,(587) 572-8889,zenithaestheticsyyc@gmail.com,https://ca.linkedin.com/in/hunter-domoslai-95697b2aa,
Essence Medical Aesthetics,https://essencemedical.ca/,"#150 3650 Westwinds Dr NE Calgary, AB T3J 0W9",Medical Aesthetics,Calgary,NE,Shailesh Bandekar,403-475-6001,shailesh@essencemedical.ca,,
Calgary Skin Cancer Centre,https://calgaryskincancer.com/,"3320 17 Avenue SW, Calgary, Alberta T3E 0B4, Canada",Medical Aesthetics,Calgary,SW,Dr. Jennifer Guillemaud,403-700-0110,info@calgaryskincancer.com,https://www.instagram.com/calgaryskincancercentre/?hl=en,
Aspire Medical Aesthetics,https://aspiremedical.ca/,"#320, 4015 University Ave, NW Calgary, Alberta T3B 6K3",Medical Aesthetics,Calgary,NW,Dr. Ahmad Zabal,587-329-6529,info@aspiremedical.ca,https://ca.linkedin.com/in/ahmad-zabal-792178198,
SKN YYC Aesthetics,https://www.sknnaesthetics.ca/,"201-1029 17TH AVE SW, CALGARY AB, T2T 0A9",Medical Aesthetics,Calgary,SW,Nevana,(825) - 559 - 5028,aestheticssknn@gmail.com,,
Fresh Faces Medical Aesthetics,https://freshfacedmedicalaesthetics.ca/,"179 Sunlake Way SE, Calgary, AB T2X 3H4, Canada",Medical Aesthetics,Calgary,SE,Melissa,403-714-8771,Freshfacedma@gmail.com,,
Beauty Call Medical Aesthetics,https://www.beautycallyyc.com/,"8730 Country Hills Blvd NW #250, Calgary, AB T3G 0E2",Medical Aesthetics,Calgary,NW,Andrea Niven,403 837 7001,info@beautycallyyc.com,,
The Aesthetic Atelier,https://aestheticatelier.ca/,"4620 Bow Trl SW #210, Calgary, AB T3C 3P4",Medical Aesthetics,Calgary,SW,Rowenna & Leah,(403) 681-8123,info@aestheticatelier.ca,,
Preventous Cosmetic Medicine,https://preventous.com,"1167 Kensington Cres NW, Calgary AB",Medical Aesthetics,Calgary,NW,Barb Schafer,403.229.0129,info@preventous.com,,
Kalon Medical Aesthetics,https://www.kalonaesthetics.ca/,"16-185 E Hills Blvd SE, Calgary, AB T2A 7A6",Medical Aesthetics & Laser Hair Removal,Calgary,SE,Jennifer,(587) 496-9070,info@kalonaesthetics.ca,,
SKIN Clinics,https://skinclinics.ca/calgary/,"3007 14 ST SW #301 Calgary, AB T2T 3V6",Medical Aesthetics & Laser Hair Removal,Calgary,SW,Dr. Jason Sneath,403-764-7545,jason@skinclinics.ca,,
